BOS what kind of aircraft is used on a flight from cleveland to dallas EOS	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555 EOS	O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O B-flight_number O O B-depart_time.time atis_aircraft
BOS what is the cheapest flight from denver to pittsburgh on july twenty sixth EOS	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_flight
BOS what's the price of the least expensive first class round trip ticket on us air from cleveland to miami EOS	O O O O O O B-cost_relative I-cost_relative B-class_type I-class_type B-round_trip I-round_trip O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the earliest flight that has no stops from washington to san francisco on friday EOS	O O O O B-flight_mod O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS what flights are available from denver to philadelphia on monday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS do you have an 819 flight from denver to san francisco EOS	O O O O O B-depart_time.time O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS show me flights from new york to miami EOS	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS very well i'm working on scenario three i'm interested in a flight on a 727 from washington dc to atlanta georgia EOS	O O O O O O O O O O O O O O O B-aircraft_code O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name atis_flight
BOS please find a flight from st. petersburg to miami on thursday EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS please find a flight from san diego to toronto on alaska airlines EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name atis_flight
BOS i would like to fly from columbus to phoenix through cincinnati in the afternoon EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name O O B-depart_time.period_of_day atis_flight
BOS list the flights from denver to westchester county on june seventh EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS kansas city to atlanta monday morning flights EOS	O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.period_of_day O atis_flight
BOS nashville to cleveland sunday before 9 EOS	O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name B-depart_time.time_relative B-depart_time.time atis_flight
BOS minneapolis to pittsburgh flight EOS	O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS i would like to have the airline that flies toronto detroit and st. louis EOS	O O O O O O O O O O B-fromloc.city_name B-toloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS i'd like a flight from new york to los angeles on saturday morning on us air EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day O B-airline_name I-airline_name atis_flight
BOS list flights from las vegas to denver EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS list flights from houston to denver EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list flights from newark to houston EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS could i have flight information on flights from pittsburgh to phoenix please EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS i need information on flights from washington to boston that leave on a saturday EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name atis_flight
BOS i need information on flights from toronto to san diego EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS show me all flights from orlando to montreal please EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS show me round trip flights from orlando to montreal EOS	O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me the cheapest one way flights from montreal to orlando EOS	O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS which airline is us EOS	O O O O B-airline_code atis_airline
BOS list distance from airports to downtown in new york EOS	O O O O O O O O B-city_name I-city_name atis_distance
BOS list flights from la guardia to burbank EOS	O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name atis_flight
BOS list flights from baltimore to san francisco on friday EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS list the cities from which northwest flies EOS	O O O O O O B-airline_name O atis_city
BOS show me the first class and coach flights from kennedy airport to miami EOS	O O O O B-class_type I-class_type O B-class_type O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name atis_flight
BOS what is the seating capacity of the aircraft 72s EOS	O O O O O O O O O B-aircraft_code atis_capacity
BOS list the airlines with flights to or from denver EOS	O O O O O O O O O B-city_name atis_airline
BOS what type of aircraft is used for the american flight leaving at 419 pm EOS	O O O O O O O O O B-airline_name O O O B-depart_time.time I-depart_time.time atis_aircraft
BOS is there one airline that flies from burbank to milwaukee milwaukee to st. louis and from st. louis to burbank EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airline
